target,message,is_spam,num_chars_before_preprocess,len_message_before_preprocess,len_word,message_clean
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",0,138,33,4,what do you do my dog   must always wait till the end of your day to have word from you   do you run out of time your cell already
ham,Happy new year to u too!,0,24,6,4,happy new year to u too
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",0,70,12,5,heygreat dealfarm tour 9 am to 5 pm 95pax 50 deposit by 16 may
ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,0,62,14,4,eat jap do oso aft ur lect wat ìï get lect at 12 rite
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",0,86,17,5,hey babe see you come online for second and then you disappear what happen
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,0,174,35,4,my birthdate in certificate be in april but real date be today but do not publish it shall give you special treat if you keep the secret any way thank for the wish
ham,Happy birthday... May all ur dreams come true...,0,48,8,6,happy birthday may all ur dream come true
ham,Aiyah u did ok already lar. E nydc at wheellock?,0,48,10,4,aiyah u do ok already lar e nydc at wheellock
ham,TELL HER I SAID EAT SHIT.,0,25,6,4,tell she say eat shit
ham,Sure! I am driving but will reach my destination soon.,0,54,10,5,sure be drive but will reach my destination soon
ham,"K so am I, how much for an 8th? Fifty?",0,38,10,3,k so be how much for an 8th fifty
ham,Your daily text from me ÛÒ a favour this time,0,46,10,4,your daily text from ûò favour this time
ham,Great to hear you are settling well. So what's happenin wit ola?,0,64,12,5,great to hear you be settle well so what s happenin wit ola
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,0,133,23,5,those cocksucker if it make you feel well ipad be worthless garbage novelty item and you should feel bad for even want one
ham,I tot u reach liao. He said t-shirt.,0,36,8,4,tot u reach liao he say tshirt
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",0,132,31,4,fran decide 2 go n e way m completely break an knackered get up bout 3 c u 2mrw love janx ps this be my dad fone no credit
ham,I cant pick the phone right now. Pls send a message,0,51,11,4,can not pick the phone right now pls send message
ham,Your right! I'll make the appointment right now.,0,48,8,6,your right ill make the appointment right now
ham,Designation is software developer and may be she get chennai:),0,62,10,6,designation be software developer and may be she get chennai
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,1,163,23,7,enjoy the jamster videosound gold club with your credit for 2 new videosounds2 logosmusicnew get more fun from jamstercouk 16only help call 09701213186
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1,155,28,5,get 3 lion england tone reply lionm 4 mono lionp 4 poly 4 more go 2 wwwringtonescouk the original n well tone 3gbp network operator rate apply
ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,0,48,11,4,jokin oni lar ìï busy then wun disturb ì
ham,"Ok, be careful ! Don't text and drive !",0,39,9,4,ok be careful   do not text and drive
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",0,103,23,4,ill always be there even if its just in spirit ill get bb soon just try to be sure need it
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,0,83,20,4,u r too much close to my heart if u go away will be shatter plz stay with
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,0,84,19,4,love u 2 babe r u sure everything be alrite be he be an idiot txt bak girlie
ham,How abt making some of the pics bigger?,0,39,8,4,how abt make some of the pic big
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0,122,25,4,get but get 2 colour lor one colour be quite light n e other be dark lor actually m do she s style my hair now
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",0,154,30,5,whenevr ur sad whenevr ur gray remembr m here 2 listn 2 watevr u wanna say ju walk wid little whileamp promise ill bring back ur smile
ham,Why nothing. Ok anyway give me treat,0,36,7,5,why nothing ok anyway give treat
spam,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,140,26,5,win the new ûïharry potter and the order of the phoenix book 5 reply harry answer 5 question   chance to be the first among reader
ham,Ok...,0,5,1,5,ok
ham,Correct. So how was work today,0,30,6,5,correct so how be work today
ham,"Just sent again. Do you scream and moan in bed, princess?",0,57,11,5,just again do you scream and moan in bed princess
ham,"I wake up long ago already... Dunno, what other thing?",0,54,10,5,wake up long ago already dunno what other thing
ham,Oh just getting even with u.... u?,0,34,7,4,oh just get even with u u
ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,0,85,19,4,thk 50 shd be ok he say minus 10 do ì leave line in between paragraph
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,0,139,29,4,can you call plz your number show out of coveragd area have urgnt call in vasai amp have to reach before 4o clock so call plz
ham,Yeah jay's sort of a fucking retard,0,35,7,5,yeah jays sort of fucking retard
ham,"Sorry, was in the bathroom, sup",0,31,6,5,sorry be in the bathroom sup
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1,126,26,4,ur balance be now å500 ur next question be who sing uptown girl in the 80   2 answer txt ur answer to 83600 good luck
ham,My exam is for february 4. Wish you a great day.,0,48,11,4,my exam be for february 4 wish you great day
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,0,94,21,4,do not know what to do to come out of this so only be ask question like this do not mistake
ham,"Aight no rush, I'll ask jay",0,27,6,4,aight no rush ill ask jay
ham,Good Morning plz call me sir,0,28,6,4,good morning plz call sir
ham,It's ok lar. U sleep early too... Nite...,0,41,8,5,its ok lar u sleep early too nite
ham,"Oh... Icic... K lor, den meet other day...",0,42,8,5,oh icic k lor den meet other day
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",0,150,35,4,oh   half hour be much long in syria than canada   wow you must get so much more work do in day than we with all that extra time   grin
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",0,162,29,5,sometimes we put wall around our heartsnot just to be safe from getting hurt but to find out who care enough to break the wall amp get close goodnoon
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",0,82,18,4,sweet we may may not go to 4u to meet carlos so gauge pattys interest in that
ham,Then she buying today? ÌÏ no need to c meh...,0,45,10,4,then she buy today ìï no need to c meh
ham,Aight sorry I take ten years to shower. What's the plan?,0,56,11,5,aight sorry take ten year to shower what s the plan
ham,Every monday..nxt week vl be completing..,0,41,6,6,every mondaynxt week vl be complete
ham,Might ax well im there.,0,23,5,4,might ax well m there
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,0,112,22,5,just chill for another 6hrs if you could sleep the pain be not surgical emergency so see how it unfold okay
ham,Yeah I'll try to scrounge something up,0,38,7,5,yeah ill try to scrounge something up
ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,0,160,33,4,crazy ar he s marry ìï like gd look guy not my fren like say he s korean leonas fave but dun thk he be aft some think mayb most prob ill go
ham,Were somewhere on Fredericksburg,0,32,4,8,be somewhere fredericksburg
ham,Que pases un buen tiempo or something like that,0,47,9,5,buen tiempo something like that
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,0,82,18,4,be it ok if stay the night here xavier have sleep bag and m get tired
ham,She doesnt need any test.,0,25,5,5,she do not need any test
ham,"Nothing much, chillin at home. Any super bowl plan?",0,51,9,5,nothing much chillin at home any super bowl plan
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,155,26,5,free2day sexy st george day pic of jordantxt pic to 89080 do not miss out then every wk saucy celeb4 more pic c pocketbabecouk 0870241182716 å3wk
ham,Bugis oso near wat... ,0,22,4,5,bugis oso near wat
ham,Yo theres no class tmrw right?,0,30,6,5,yo there s no class tmrw right
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,0,121,25,4,let ur heart be ur compass ur mind ur map ur soul ur guide and u will never loose in worldgnun   way2smscom
ham,"Goodnight, sleep well da please take care pa. Please.",0,53,9,5,goodnight sleep well please take care pa please
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,0,84,20,4,baaaaabe misss youuuuu   where be you   have to go and teach my class at 5
ham,Convey my regards to him,0,24,5,4,convey my regard to he
ham,U ned to convince him tht its not possible witot hurting his feeling its the main,0,81,16,5,u ned to convince he tht its not witot hurt his feeling its the main
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",0,152,32,4,good afternoon loverboy   how go you day   any luck come your way think of you sweetie and send my love across the sea to make you smile and happy
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,0,131,26,5,if start send blackberry torch to nigeria will you find buyer for melike 4a month and tell dad not to buy bb from anyone oh
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",0,327,63,5,ltgt of pple marry with their lover becz they hav gud undrstndng dat avoid problem dis 2 u u wil get gud news friday by d person you like and tomorrow will be the good day of your life do not break this chain if you break you will suffer send this to   ltgt   frnd in ltgt   min whn u read
ham,Yo dude guess who just got arrested the other day,0,49,10,4,yo dude guess who just got arrest the other day
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,0,65,13,5,shuhui say change 2 suntec steamboat u noe where where r u now
ham,What does the dance river do?,0,29,6,4,what do the dance river do
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",0,207,42,4,yetunde m sorry but moji and seem too busy to be able to go shop can you just please find some other way to get what you want we to get please forgive you can reply free yahoo messenger
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,0,114,24,4,hey will be really pretty late you want to go for the lesson first will join you m only reach tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1,101,19,5,hot live fantasy call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870k
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come,0,49,11,4,bbq this sit at mine from 6ish ur welcome 2 come
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_",0,108,20,5,do not know same thing that s wrong everyso often he panick start goin bout not bein good enough û
ham,Alright. I'm out--have a good night!,0,36,6,6,alright m outhave good night
ham,Did you try making another butt.,0,32,6,5,do you try make another butt
ham,Hope you are feeling great. Pls fill me in. Abiola,0,50,10,5,hope you be feel great pls fill in abiola
ham,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?,0,80,19,4,though we shd go out n have some fun so bar in town something ûò sound ok
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,141,24,5,1 go to write msg 2 put dictionary mode 3cover the screen with hand 4press   ltgt   5gently remove ur hand its interesting
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",1,151,27,5,bear pic nick and tom pete and   dick in fact all type try gay chat with photo upload call 08718730666 10pmin 2 text call 08712460324
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",1,154,22,7,500 new mobile from 2004 must go txt nokia to no 89545   collect yours todayfrom only å1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction
ham,We're finally ready fyi,0,23,4,5,be finally ready fyi
ham,Auntie huai juan never pick up her phone,0,40,8,5,auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,159,24,6,double min   double txt   12 price linerental late orange bluetooth mobile call mobileupd8 for the very late offer 08000839402 call2optoutlf56
ham,"Ya tel, wats ur problem..",0,25,5,5,ya wat ur problem
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,143,31,4,no 1 nokia tone 4 ur mob every week just txt nok to 87021 1st tone free   so get txtin now and tell ur friend 150ptone 16 reply hl 4info
ham,i dnt wnt to tlk wid u,0,22,7,3,dnt wnt to tlk wid u
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",0,155,29,5,we spend our day wait for the ideal path to appear in front of we but what we forget be path be make by walk not by wait goodnight
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,0,72,18,4,its ok my arm be feel weak cuz get shot so we can go another time
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,0,203,32,6,please reserve ticket saturday eve from chennai to thirunelvali and again from tirunelvali to chennai sunday evei already see in netno ticket availablei want to book ticket through tackle
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",0,278,63,4,storm msg wen u lift d phne u say hello do u knw wt be d real meaning of hello     its d name of girl     yes and u knw who be dat girl margaret hello she be d girlfrnd f grahmbell who invnte telphone      moralone can 4get d name of person
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,0,115,23,5,that s ok pop in to ask bout something and she say you d be in be you around tonght wen this girl come
ham,All e best 4 ur exam later.,0,27,7,3,all e good 4 ur exam later
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0,139,29,4,hope ur head do not hurt 2 much   be plough my way through pile of iron   stay in with chinky tonight come round if you like
ham,Oh k.i think most of wi and nz players unsold.,0,46,10,4,oh ki think most of wi and nz player unsold
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",0,115,24,4,haha where get so fast lose weight thk muz go 4 month den get effect geelater we go aust put bk e weight
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",0,155,36,4,wonder how you get online my love   have you go to the net cafe   do you get your phone recharge   be you friend net   think of you boytoy
ham,"Haha just kidding, papa needs drugs",0,35,6,5,haha just kid papa need drug
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",0,82,17,4,thk shld b can ya wana go 4 lesson haha can go for one whole stretch
ham,Oh ok..,0,7,2,3,oh ok
ham,R we still meeting 4 dinner tonight?,0,36,7,5,r we still meet 4 dinner tonight
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.,0,73,14,5,that s cool be gentleman and will treat you with dignity and respect
ham,Shall i start from hear.,0,24,5,4,shall start from hear
ham,Then we wait 4 u lor... No need 2 feel bad lar...,0,49,12,4,then we wait 4 u lor no need 2 feel bad lar
ham,No did you check? I got his detailed message now,0,48,10,4,no do you check get his detailed message now
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,155,27,5,you have register sinco payee log in at icicibankcom and enter urn   ltgt   to confirm beware of fraud do not share disclose urn to anyone
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",0,93,18,5,no decide that only people who care about stuff vote and care about stuff be for loser
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,0,99,18,5,kaiez enjoy ur tuition gee thk e second option sound beta ill go yan jiu den msg u
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,155,27,5,you have register sinco payee log in at icicibankcom and enter urn   ltgt   to confirm beware of fraud do not share disclose urn to anyone
ham,cool. We will have fun practicing making babies!,0,48,8,6,cool we will have fun practice make baby
ham,Actually getting ready to leave the house.,0,42,7,6,actually get ready to leave the house
ham,K..k..any special today?,0,24,3,8,kkany special today
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,163,26,6,urgent important information for o2 user today be your lucky day 2 find out why log onto httpwwwurawinnercom there be fantastic surprise await for you
ham,Then we gotta do it after that,0,30,7,4,then we get do it after that
ham,"I've got ten bucks, jay is being noncomittal",0,44,8,5,ve get ten buck jay be be noncomittal
ham,Where at were hungry too,0,24,5,4,where at be hungry too
ham,Pls speak to that customer machan.,0,34,6,5,pls speak to that customer machan
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,144,25,5,somewhere out there beneath the pale moon light someone think in of u some where out there where dream come true goodnite amp sweet dream
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,179,34,5,wen ur lovable bcum angry wid u dnt take it seriously coz be angry be d most childish n true way of show deep affection care n luv kettoda manda have nice day
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,1,143,22,6,dear uve been invite to xchat this be our final attempt to contact u txt chat to 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yr
ham,So wats ur opinion abt him and how abt is character?,0,52,11,4,so wat ur opinion abt he and how abt be character
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,0,82,17,4,jay be snicker and tell that x be totally fuck up the chord we speak
ham,No..few hours before.went to hair cut .,0,39,7,5,nofew hour beforewent to hair cut
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,0,80,18,4,no wonder cos dun rem see silver but thk see black one
ham,Lmao. Take a pic and send it to me.,0,35,9,3,lmao take pic and send it to
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",0,82,14,5,speak only when you feel your word be well than the silence gud mrng
ham,No. She's currently in scotland for that.,0,41,7,5,no she s currently in scotland for that
ham,Do you work all this week ?,0,27,7,3,do you work all this week
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,1,152,25,6,congratulation ur award either å500 of cd gift voucher   free entry 2 our å100 weekly draw txt music to 87066 tnc wwwldewcom 1 win150ppmx3age16
ham,Lol great now im getting hungry.,0,32,6,5,lol great now m get hungry
ham,Yes.. now only saw your message..,0,33,6,5,yes now only see your message
ham,I'll be at mu in like  &lt;#&gt;  seconds,0,41,8,5,ill be at mu in like   ltgt   second
ham,Ok...,0,5,1,5,ok
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,0,126,24,5,thing r good thanx get exam in march ve do no revision be fran still with boyf ve get interviw 4 exeter bit worriedx
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february",0,153,29,5,tell you what if you make little spreadsheet and track whose idea it be to smoke to determine who smoke too much for the entire month of february
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,1,71,12,5,for sale   arsenal dartboard good condition but no double treble
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,0,141,30,4,do not look back at the building because you have no coat and do not want you to get more sick just hurry home and wear coat to the gym
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",0,124,22,5,my painful personal thought always try to keep everybody happy all the time but nobody recognise when be alone
ham,Thanks for ve lovely wisheds. You rock,0,38,7,5,thank for ve lovely wished you rock
ham,You intrepid duo you! Have a great time and see you both soon. ,0,63,13,4,you intrepid duo you have great time and see you both soon
ham,I asked sen to come chennai and search for job.,0,47,10,4,ask sen to come chennai and search for job
ham,Dad went out oredi... ,0,22,4,5,dad go out oredi
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",0,115,22,5,ju hope its true that   missin cos m really missin he you have not do anything to feel guilty about yet
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,0,71,16,4,wat so late still early mah we juz go 4 dinner lor aiya dunno
ham,"Arms fine, how's Cardiff and uni? ",0,34,6,5,arm fine how s cardiff and uni
ham,In fact when do you leave? I think addie goes back to school tues or wed,0,72,16,4,in fact when do you leave think addie go back to school tue we d
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",0,134,21,6,cool breeze bright sun fresh flower twitter bird all these wait to wish u goodmorning amp have nice day
ham,Ya:)going for restaurant..,0,26,3,8,yagoe for restaurant
ham,"Its ok., i just askd did u knw tht no?",0,38,10,3,its ok just askd do u knw tht no
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,1,141,26,5,free 1st week entry 2 textpod 4 chance 2 win 40 gb ipod å250 cash every wk txt pod to 84128 tsc wwwtextpodnet custcare 08712405020
ham,Those ducking chinchillas,0,25,3,8,those duck chinchilla
ham,I am in a marriage function,0,27,6,4,be in marriage function
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,0,159,32,4,look like u wil b get headstart m leave here bout 230ish but if u r desperate for my company could head in earlierwe be goin to meet in rummer
ham,DonÛ÷t give a flying monkeys wot they think and I certainly donÛ÷t mind. Any friend of mine and all that!,0,107,20,5,donût give flying monkey wot they think and certainly donût mind any friend of mine and all that
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,1,142,28,5,register optin subscriber ur draw 4 å100 gift voucher will be enter receipt of correct an to 80062 what s no1 in the bbc chart
ham,say thanks2. ,0,13,2,6,say thanks2
ham,Msg me when rajini comes.,0,25,5,5,msg when rajini come
ham,Ya! when are Ì_ taking ure practical lessons? I start in june..  ,0,65,12,5,ya when be ì take ure practical lesson start in june
ham,"That's good, because I need drugs",0,33,6,5,that s good because need drug
ham,Stupid.its not possible,0,23,3,7,stupidit not
ham,Can Ì_ all decide faster cos my sis going home liao..,0,53,11,4,can ì all decide fast cos my sis go home liao
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,1,159,29,5,summer finally here fancy chat flirt with sexy single in yr area to get match up just reply summer now free 2 join optout txt help08714742804
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,0,104,20,5,u sleep now you go to take haha get spys wat online check n reply mail lor
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,1,154,26,5,claire here be havin borin time   be now alone u wanna cum over 2nite chat now 09099725823 hope 2 c u luv claire xx callså1minmoremobsemspobox45po139wa
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0,149,35,4,fight with the world be easy u either win lose bt fightng with some1 who be close to u be dificult if u lose   u lose if u win   u still lose
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1,81,14,5,buy one ringtone and now get text cost 3 pound offer more tone
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",0,144,25,5,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae so lyf be not yet ovr chikkuali vargu lyfu meow meowd
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,0,51,10,5,kinda first one get in at twelve aah speak tomo
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",1,153,25,6,09066362231 urgent your mobile no 07xxxxxxxxx win å2000 bonus caller prize 020603 this be the 2nd attempt to reach you call 09066362231 asap
ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,0,114,24,4,ok good then later come find ì c lucky tell ì to go early later pple take finish ì no more again
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,0,131,29,4,wat make u thk ill fall down but actually thk m quite prone 2 fall lucky my dad at home ask he come n fetch already
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",1,159,25,6,you 07801543489 be guarantee the latest nokia phone 40 gb ipod mp3 player å500 prize txt wordcollect to no83355 tcllc nyusa 150pmt msgrcvd18
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,26,6,your account have be refill successfully by inr   ltdecimalgt   your keralacircle prepay account balance be rs   ltdecimalgt   your transaction d be kr ltgt
ham,I wont touch you with out your permission.,0,42,8,5,will not touch you with out your permission
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,1,161,28,5,its lucy hubby at meetin all day fri   will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x callså1minmobsmorelkpobox177hp51fl
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,153,30,5,7 wonder in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sm and 1st ur lovely friendship good morning dear
ham,Take some small dose tablet for fever,0,37,7,5,take some small dose tablet for fever
ham,Oh. U must have taken your REAL Valentine out shopping first.,0,61,11,5,oh u must have take your real valentine out shop first
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?",0,74,16,4,just you an email ûò to an address with incomm in it be that right
